id,q_id,method,retrieve_text,score,source
1,1,fixed,"從太空到地表的連線：衛星傳輸後的影像處理中心解碼、校正
走進國家太空中心的影像處理中心，隔著玻璃窗，我們看見機房裡頭擺放著20多櫃資料處理系統，其中包含3部超級電腦，這些電腦的用途是針對衛星進行任務排程、資料管理、接收，以及成像處理與品質驗證。接下來當「齊柏林衛星」完成拍攝、將資料傳回地面接收站後，影像處理中心人員就會將這些訊號數據解碼、校正與重組，拼貼成一幀幀能夠講述地表故事的照片",0.52880859375,data_02
2,1,sliding,"。

從太空到地表的連線：衛星傳輸後的影像處理中心解碼、校正
走進國家太空中心的影像處理中心，隔著玻璃窗，我們看見機房裡頭擺放著20多櫃資料處理系統，其中包含3部超級電腦，這些電腦的用途是針對衛星進行任務排程、資料管理、接收，以及成像處理與品質驗證。接下來當「齊柏林衛星」完成拍攝、將資料傳回地面接收站後，影像處理中心人員就會將這些訊號數據解碼、校正與重組，拼貼成一幀幀能夠講述地表故事的照片",0.52978515625,data_02
3,1,semantic,"台灣的太空之眼：「福衛八號」進擊之路

回到地面，我們看到的這些衛星影像，來自國家太空中心一座不眠不休的機房，他們把衛星回傳的一包包數據，解碼、校正、重組成可以被讀懂的地表語言，比如崩塌的山坡、被海水淹沒的村落、油汙蔓延的海岸線。

如今，這套技術不僅讓台灣能夠監測自己的土地，也能讓我們在世界各地發生災害的第一時間，即時提供關鍵資訊，衛星影像正在成為台灣參與國際的新語言。

從太空到地表的連線：衛星傳輸後的影像處理中心解碼、校正
走進國家太空中心的影像處理中心，隔著玻璃窗，我們看見機房裡頭擺放著20多櫃資料處理系統，其中包含3部超級電腦，這些電腦的用途是針對衛星進行任務排程、資料管理、接收，以及成像處理與品質驗證。接下來當「齊柏林衛星」完成拍攝、將資料傳回地面接收站後，影像處理中心人員就會將這些訊號數據解碼、校正與重組，拼貼成一幀幀能夠講述地表故事的照片。

校正流程分為「輻射校正」與「幾何校正」，前者是為了修正大氣或儀器本身帶來的系統性偏差，讓每個像素都能夠反映真實的光強度；後者則是搭配地理影像控制與數值地形模型，校準每一張影像的地理坐標，使其能與地圖、地形精準重疊。當山脈的輪廓開始對齊、河流與建築的位置對焦回現實，影像才能用於防災、救災或是地理研究等實際應用情境。

影像處理中心衛星資料處理組組長張莉雪表示，目前與太空中心合作的客戶有超過9成來自政府部門，「福衛五號」所拍攝的影像多數用於國土監測，包含崩塌地或是農業用地的土地利用監測等。當像是馬太鞍溪堰塞湖潰壩這樣的緊急災害事件發生時，衛星影像也可以比對出地表變化。",0.63232421875,data_02
4,2,fixed,2026年，台灣的全民健保進入「兆元時代」，儘管要追趕超高齡人口的速度、高科技和新藥價格的飆漲，仍然吃力，但這個規模已近台灣中央總預算的三分之一，台灣健保投資已追上國民所得相近的國家。我們專訪新任衛福部長石崇良，他開出的首波改革與重整之道，正是對準醫療人力盤點與直美設限，企圖把全民負擔的健保集中火力投在最需要的醫療缺口上，新官上任後的政策支票是否合理，各界可以擴大討論，並且從現在開始，監督可行政策兌現的速度,0.685546875,data_03
5,2,sliding,"。
2026年，台灣的全民健保進入「兆元時代」，儘管要追趕超高齡人口的速度、高科技和新藥價格的飆漲，仍然吃力，但這個規模已近台灣中央總預算的三分之一，台灣健保投資已追上國民所得相近的國家。我們專訪新任衛福部長石崇良，他開出的首波改革與重整之道，正是對準醫療人力盤點與直美設限，企圖把全民負擔的健保集中火力投在最需要的醫療缺口上，新官上任後的政策支票是否合理，各界可以擴大討論，並且從現在開始，監督可行政策兌現的速度。",0.67919921875,data_03
6,2,semantic,"台灣的太空之眼：「福衛八號」進擊之路

回到地面，我們看到的這些衛星影像，來自國家太空中心一座不眠不休的機房，他們把衛星回傳的一包包數據，解碼、校正、重組成可以被讀懂的地表語言，比如崩塌的山坡、被海水淹沒的村落、油汙蔓延的海岸線。

如今，這套技術不僅讓台灣能夠監測自己的土地，也能讓我們在世界各地發生災害的第一時間，即時提供關鍵資訊，衛星影像正在成為台灣參與國際的新語言。

從太空到地表的連線：衛星傳輸後的影像處理中心解碼、校正
走進國家太空中心的影像處理中心，隔著玻璃窗，我們看見機房裡頭擺放著20多櫃資料處理系統，其中包含3部超級電腦，這些電腦的用途是針對衛星進行任務排程、資料管理、接收，以及成像處理與品質驗證。接下來當「齊柏林衛星」完成拍攝、將資料傳回地面接收站後，影像處理中心人員就會將這些訊號數據解碼、校正與重組，拼貼成一幀幀能夠講述地表故事的照片。

校正流程分為「輻射校正」與「幾何校正」，前者是為了修正大氣或儀器本身帶來的系統性偏差，讓每個像素都能夠反映真實的光強度；後者則是搭配地理影像控制與數值地形模型，校準每一張影像的地理坐標，使其能與地圖、地形精準重疊。當山脈的輪廓開始對齊、河流與建築的位置對焦回現實，影像才能用於防災、救災或是地理研究等實際應用情境。

影像處理中心衛星資料處理組組長張莉雪表示，目前與太空中心合作的客戶有超過9成來自政府部門，「福衛五號」所拍攝的影像多數用於國土監測，包含崩塌地或是農業用地的土地利用監測等。當像是馬太鞍溪堰塞湖潰壩這樣的緊急災害事件發生時，衛星影像也可以比對出地表變化。",0.331298828125,data_02
7,3,fixed,"《報導者》整理了5個問答，試圖說明這場伊朗抗爭，對中東局勢、乃至2026年的全球局勢可能帶來的影響：伊朗人民為何冒著生命危險憤怒上街？面對宿敵的政治動盪，美國、以色列與中東其他國家各有什麼盤算與反應？而在起義與鎮壓對撞的血腥衝突中，伊朗又是否真已跨在政權更迭、甚至是王朝復辟的門檻上？

Q1：伊朗發生了什麼事，為什麼人民寧可冒著生命危險也要上街抗議？
A：在示威浪潮席捲全國之前，伊朗正面臨著數十年來最嚴重的經濟危機，除了官方貨幣里亞爾（Rial）急遽貶值至歷史最低點，伊朗2025年國內通膨率更超過40%，糧食與日用品等民生物價在短短半年內上漲逾60%，其中牛奶、雞蛋與麵包等基本食物的價格，更是飆漲了1倍以上",0.6494140625,data_01
8,3,sliding,"。極為沉重的蕭條壓力，這才逼使走投無路的伊朗人民湧上街頭。
一開始，示威行動只是零星出現，但隨著通膨問題的快速惡化，以都市商人為主的市場商販公會，也從2025年12月開始加入罷工罷市的抗爭行列──此舉，大幅升級並凝聚了伊朗國內對於政府施政不力的憤怒情緒，示威行動亦從首都德黑蘭，迅速蔓延至全國各級城市。

事實上，撼動伊朗政局的這波經濟危機，背後主要有三大原因：

國際社會重新收緊的經濟制裁與石油禁運；
2025年6月以色列與美國對伊朗發動的跨境空襲；
極端氣候引發的空前乾旱",0.69775390625,data_01
9,3,semantic,"《報導者》整理了5個問答，試圖說明這場伊朗抗爭，對中東局勢、乃至2026年的全球局勢可能帶來的影響：伊朗人民為何冒著生命危險憤怒上街？面對宿敵的政治動盪，美國、以色列與中東其他國家各有什麼盤算與反應？而在起義與鎮壓對撞的血腥衝突中，伊朗又是否真已跨在政權更迭、甚至是王朝復辟的門檻上？

Q1：伊朗發生了什麼事，為什麼人民寧可冒著生命危險也要上街抗議？
A：在示威浪潮席捲全國之前，伊朗正面臨著數十年來最嚴重的經濟危機，除了官方貨幣里亞爾（Rial）急遽貶值至歷史最低點，伊朗2025年國內通膨率更超過40%，糧食與日用品等民生物價在短短半年內上漲逾60%，其中牛奶、雞蛋與麵包等基本食物的價格，更是飆漲了1倍以上。極為沉重的蕭條壓力，這才逼使走投無路的伊朗人民湧上街頭。
一開始，示威行動只是零星出現，但隨著通膨問題的快速惡化，以都市商人為主的市場商販公會，也從2025年12月開始加入罷工罷市的抗爭行列──此舉，大幅升級並凝聚了伊朗國內對於政府施政不力的憤怒情緒，示威行動亦從首都德黑蘭，迅速蔓延至全國各級城市。",0.65771484375,data_01
10,4,fixed,"Q3：抗爭中的「巴勒維王朝復辟」口號，是否動搖伊朗政府的統治？
2026年1月12日，在倫敦市中心的伊朗大使館外，示威者正在焚燒伊朗最高領袖哈米尼（Ayatollah Ali Khamenei）的照片，同時高舉前伊朗國王之子芮沙．巴勒維（Reza Pahlavi）的照片。（攝影／Henry Nicholls／AFP）
A：伊朗政府的統治基礎確實被空前動搖，但至今並沒有立即垮台的跡象。

截至1月14日為止，2026年的伊朗反政府示威雖然已明顯重創德黑蘭當局的統治威信，但各地抗爭行動尚不足以直接威脅政權存續，政府權力核心圈也未就鎮壓決策浮現公開的政治分歧",0.6962890625,data_01
